Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
step 0: train loss 10.8320, val loss 10.8321
iter 92: loss 10.2509, time 2073.99ms, mfu -100.00%
iter 93: loss 10.2432, time 2076.20ms, mfu -100.00%
iter 94: loss 10.1161, time 2073.42ms, mfu -100.00%
iter 95: loss 10.2019, time 2073.81ms, mfu -100.00%
iter 96: loss 10.1435, time 2073.66ms, mfu -100.00%
iter 97: loss 10.1853, time 2075.94ms, mfu -100.00%
iter 98: loss 10.2631, time 2073.66ms, mfu -100.00%
iter 99: loss 10.1670, time 2079.27ms, mfu -100.00%
iter 100: loss 10.2059, time 2072.56ms, mfu -100.00%
iter 101: loss 10.1161, time 2075.31ms, mfu -100.00%
iter 102: loss 10.1497, time 2074.32ms, mfu -100.00%
iter 103: loss 10.2144, time 2075.57ms, mfu -100.00%
iter 104: loss 10.1619, time 2073.23ms, mfu -100.00%
iter 105: loss 10.1281, time 2078.14ms, mfu -100.00%
iter 106: loss 10.2315, time 2075.57ms, mfu -100.00%
iter 107: loss 10.1269, time 2076.14ms, mfu -100.00%
iter 108: loss 10.1421, time 2073.88ms, mfu -100.00%
iter 109: loss 10.0433, time 2076.03ms, mfu -100.00%
iter 110: loss 10.1573, time 2073.29ms, mfu -100.00%
iter 111: loss 9.9882, time 2075.26ms, mfu -100.00%
iter 112: loss 9.9654, time 2072.87ms, mfu -100.00%
iter 113: loss 10.0112, time 2076.47ms, mfu -100.00%
iter 114: loss 9.9379, time 2073.41ms, mfu -100.00%
iter 115: loss 9.9692, time 2076.08ms, mfu -100.00%
iter 116: loss 9.9113, time 2074.59ms, mfu -100.00%
iter 117: loss 9.9149, time 2075.79ms, mfu -100.00%
iter 118: loss 9.9246, time 2074.62ms, mfu -100.00%
iter 119: loss 9.9704, time 2075.50ms, mfu -100.00%
iter 120: loss 9.9773, time 2075.20ms, mfu -100.00%
iter 121: loss 9.9489, time 2075.72ms, mfu -100.00%
